,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Season,Fixture,expected_goals
0,4.0,14.0,22,4.0,13,9.0,8,5.0,1.0,65%,,,1.0,568,488,86%,2021,710556,
1,3.0,2.0,6,1.0,3,3.0,10,9.0,5.0,35%,3.0,,3.0,335,266,79%,2021,710566,
2,,1.0,1,,1,,7,,3.0,20%,2.0,1.0,5.0,185,125,68%,2021,710580,
3,7.0,13.0,30,10.0,21,9.0,9,8.0,2.0,52%,1.0,,1.0,437,365,84%,2021,710586,
4,3.0,4.0,13,6.0,6,7.0,8,3.0,2.0,55%,1.0,,3.0,523,420,80%,2021,710598,
5,7.0,4.0,12,1.0,7,5.0,12,4.0,2.0,47%,2.0,,3.0,431,357,83%,2021,710606,
6,2.0,5.0,8,1.0,4,4.0,5,5.0,1.0,42%,1.0,,2.0,355,268,75%,2021,710616,
7,6.0,7.0,17,4.0,11,6.0,7,6.0,,54%,1.0,,4.0,544,474,87%,2021,710626,
8,9.0,8.0,22,5.0,14,8.0,17,7.0,1.0,54%,2.0,,3.0,454,369,81%,2021,710636,
9,5.0,1.0,9,3.0,7,2.0,11,6.0,1.0,36%,,,8.0,342,262,77%,2021,710648,
10,6.0,5.0,14,3.0,6,8.0,6,4.0,3.0,61%,4.0,,1.0,488,409,84%,2021,710656,
11,3.0,,5,2.0,3,2.0,12,1.0,8.0,37%,,,5.0,384,311,81%,2021,710669,
12,6.0,12.0,24,6.0,14,10.0,6,4.0,,66%,1.0,,5.0,646,563,87%,2021,710676,
13,8.0,5.0,17,4.0,12,5.0,10,8.0,1.0,55%,,,7.0,526,440,84%,2021,710692,
14,3.0,4.0,10,3.0,8,2.0,12,3.0,1.0,64%,2.0,,3.0,588,486,83%,2021,710697,
15,5.0,7.0,15,3.0,11,4.0,5,9.0,3.0,61%,2.0,,6.0,507,405,80%,2021,710706,
16,8.0,5.0,21,8.0,11,10.0,9,5.0,,56%,2.0,,1.0,501,420,84%,2021,710716,
17,12.0,3.0,21,6.0,14,7.0,7,4.0,1.0,49%,1.0,,1.0,392,305,78%,2021,710728,
18,6.0,4.0,16,6.0,11,5.0,7,4.0,2.0,65%,2.0,,2.0,585,493,84%,2021,710742,
19,5.0,11.0,26,10.0,20,6.0,8,5.0,2.0,56%,1.0,,1.0,508,421,83%,2021,710746,
20,2.0,4.0,7,1.0,5,2.0,13,5.0,1.0,29%,5.0,1.0,,249,179,72%,2021,710756,
21,4.0,2.0,8,2.0,3,5.0,15,2.0,,42%,5.0,1.0,3.0,412,352,85%,2021,710773,
22,5.0,8.0,20,7.0,13,7.0,9,12.0,,76%,,,1.0,643,564,88%,2021,710776,
23,2.0,3.0,12,7.0,8,4.0,13,4.0,2.0,42%,5.0,1.0,4.0,356,272,76%,2021,710791,
24,4.0,7.0,14,3.0,10,4.0,6,1.0,4.0,32%,1.0,,,332,251,76%,2021,710798,
25,8.0,8.0,24,8.0,17,7.0,10,14.0,1.0,66%,1.0,,1.0,562,482,86%,2021,710806,
26,2.0,3.0,9,4.0,3,6.0,9,1.0,4.0,48%,,,1.0,505,407,81%,2021,710816,
27,4.0,9.0,16,3.0,11,5.0,12,5.0,,57%,2.0,,5.0,556,469,84%,2021,710834,
28,8.0,4.0,21,9.0,16,5.0,8,2.0,2.0,46%,,,3.0,481,414,86%,2021,710836,
29,3.0,3.0,10,4.0,4,6.0,14,5.0,1.0,53%,3.0,,1.0,521,449,86%,2021,710846,
30,3.0,8.0,12,1.0,6,6.0,15,2.0,4.0,69%,2.0,,2.0,647,557,86%,2021,710859,
31,4.0,5.0,20,11.0,13,7.0,12,11.0,2.0,65%,3.0,,1.0,512,426,83%,2021,710866,
32,6.0,12.0,23,5.0,13,10.0,6,8.0,,76%,1.0,,2.0,655,582,89%,2021,710881,
33,7.0,5.0,14,2.0,9,5.0,9,1.0,2.0,55%,3.0,,4.0,507,430,85%,2021,710886,
34,7.0,4.0,13,2.0,7,6.0,9,7.0,,43%,2.0,,2.0,454,377,83%,2021,710904,
35,9.0,8.0,19,2.0,15,4.0,13,8.0,1.0,63%,2.0,,1.0,621,556,90%,2021,710906,
36,2.0,4.0,11,5.0,5,6.0,8,8.0,1.0,49%,3.0,,3.0,332,258,78%,2021,710920,
37,9.0,8.0,26,9.0,17,9.0,8,12.0,2.0,74%,,,1.0,647,582,90%,2021,710926,
38,2.0,4.0,10,4.0,8,2.0,11,5.0,2.0,44%,2.0,,2.0,438,360,82%,2022,867946,
39,7.0,8.0,19,4.0,15,4.0,15,6.0,2.0,50%,1.0,,1.0,462,386,84%,2022,867956,
40,6.0,4.0,14,4.0,11,3.0,10,4.0,3.0,58%,1.0,,1.0,580,517,89%,2022,867966,
41,8.0,4.0,22,10.0,16,6.0,6,9.0,1.0,72%,2.0,,2.0,595,509,86%,2022,867976,
42,9.0,6.0,22,7.0,14,8.0,10,10.0,1.0,59%,2.0,,2.0,504,428,85%,2022,867987,
43,3.0,8.0,16,5.0,9,7.0,9,5.0,,60%,3.0,,3.0,465,388,83%,2022,868001,
44,5.0,5.0,15,5.0,14,1.0,5,5.0,4.0,73%,,,5.0,748,655,88%,2022,868007,2.65
45,7.0,4.0,13,2.0,8,5.0,10,3.0,1.0,64%,2.0,,2.0,592,509,86%,2022,868017,
46,9.0,9.0,22,4.0,11,11.0,10,5.0,1.0,65%,2.0,,2.0,565,511,90%,2022,868027,
47,7.0,1.0,11,3.0,10,1.0,11,4.0,3.0,44%,1.0,,2.0,386,302,78%,2022,868037,
48,4.0,2.0,9,3.0,6,3.0,11,3.0,,53%,2.0,,4.0,500,415,83%,2022,868049,
49,1.0,4.0,10,5.0,7,3.0,11,1.0,,64%,2.0,,2.0,524,435,83%,2022,868057,1.64
50,3.0,4.0,12,5.0,7,5.0,8,4.0,3.0,59%,1.0,,2.0,541,466,86%,2022,868072,
51,10.0,5.0,24,9.0,18,6.0,9,9.0,1.0,69%,,,2.0,618,551,89%,2022,868077,
52,2.0,9.0,14,3.0,10,4.0,13,6.0,,56%,2.0,,1.0,452,371,82%,2022,868087,
53,4.0,7.0,14,3.0,11,3.0,6,4.0,1.0,63%,2.0,,2.0,579,517,89%,2022,868105,
54,5.0,6.0,16,5.0,8,8.0,13,7.0,3.0,67%,,,3.0,657,588,89%,2022,868106,
55,7.0,3.0,14,4.0,14,,11,4.0,,32%,3.0,,3.0,288,209,73%,2022,868117,
56,4.0,8.0,17,5.0,11,6.0,10,5.0,1.0,67%,4.0,,1.0,536,460,86%,2022,868126,
57,5.0,5.0,14,4.0,8,6.0,15,3.0,2.0,49%,2.0,,7.0,456,384,84%,2022,868144,
58,5.0,7.0,25,13.0,20,5.0,8,12.0,1.0,57%,1.0,,2.0,520,423,81%,2022,868147,3.25
59,3.0,7.0,15,5.0,12,3.0,8,5.0,,70%,1.0,,3.0,639,553,87%,2022,868160,0.91
60,7.0,10.0,23,6.0,13,10.0,9,7.0,1.0,69%,,,1.0,590,510,86%,2022,868167,1.55
61,5.0,8.0,20,7.0,12,8.0,4,9.0,2.0,67%,1.0,,3.0,571,489,86%,2022,868176,3.28
62,2.0,3.0,10,5.0,5,5.0,9,8.0,4.0,66%,1.0,,,613,505,82%,2022,868191,0.66
63,9.0,10.0,31,12.0,16,15.0,6,17.0,,80%,,,2.0,740,656,89%,2022,868196,2.17
64,7.0,3.0,15,5.0,11,4.0,9,8.0,2.0,55%,1.0,,2.0,539,466,86%,2022,868209,2.38
65,5.0,5.0,15,5.0,10,5.0,8,5.0,2.0,62%,,,4.0,587,509,87%,2022,868216,1.57
66,6.0,2.0,13,5.0,11,2.0,11,4.0,5.0,67%,,,4.0,636,544,86%,2022,868227,3.78
67,5.0,2.0,9,2.0,6,3.0,11,4.0,2.0,41%,4.0,,4.0,372,285,77%,2022,868241,1.41
68,5.0,4.0,11,2.0,10,1.0,8,2.0,1.0,71%,2.0,,1.0,601,523,87%,2022,868254,2.75
69,6.0,11.0,25,8.0,18,7.0,10,7.0,1.0,74%,1.0,,3.0,670,577,86%,2022,868257,2.59
70,2.0,3.0,8,3.0,4,4.0,13,3.0,1.0,48%,1.0,,5.0,457,387,85%,2022,868275,0.48
71,10.0,3.0,16,3.0,13,3.0,10,7.0,1.0,55%,,,3.0,543,470,87%,2022,868277,1.75
72,6.0,2.0,10,2.0,8,2.0,12,4.0,1.0,46%,1.0,,5.0,346,274,79%,2022,868291,1.27
73,2.0,8.0,14,4.0,11,3.0,13,5.0,1.0,41%,1.0,,3.0,360,276,77%,2022,868296,0.92
74,3.0,7.0,11,1.0,7,4.0,12,6.0,1.0,82%,2.0,,1.0,724,644,89%,2022,868312,0.64
75,8.0,4.0,14,2.0,11,3.0,8,8.0,1.0,51%,,,,456,406,89%,2022,868316,2.81
